DEBUG | 08/04/2023 23:05:45 | Creating database tables
DEBUG | 08/04/2023 23:05:49 | Login route request
DEBUG | 08/04/2023 23:05:49 | Login route request
INFO | 08/04/2023 23:05:49 | home page: P
DEBUG | 08/04/2023 23:05:49 | Login route request
INFO | 08/04/2023 23:05:49 | login page: P
DEBUG | 08/04/2023 23:05:50 | Register route request
INFO | 08/04/2023 23:05:50 | register page: P
DEBUG | 08/04/2023 23:05:50 | Login route request
INFO | 08/04/2023 23:05:50 | basket page: P
DEBUG | 08/04/2023 23:05:50 | Login route request
INFO | 08/04/2023 23:05:50 | calendar page: P
DEBUG | 08/04/2023 23:05:50 | Login route request
INFO | 08/04/2023 23:05:50 | memberships page: P
DEBUG | 08/04/2023 23:05:50 | Login route request
INFO | 08/04/2023 23:05:50 | myBookings page: P
DEBUG | 08/04/2023 23:05:51 | Login route request
INFO | 08/04/2023 23:05:51 | settings page: P
DEBUG | 08/04/2023 23:05:51 | Login route request
INFO | 08/04/2023 23:05:51 | manageUsers page: P
DEBUG | 08/04/2023 23:05:51 | Login route request
INFO | 08/04/2023 23:05:51 | addActivity page: P
DEBUG | 08/04/2023 23:05:51 | Login route request
INFO | 08/04/2023 23:05:51 | addEvent page: P
DEBUG | 08/04/2023 23:05:52 | Login route request
INFO | 08/04/2023 23:05:52 | analysis page: P
DEBUG | 08/04/2023 23:05:52 | Register route request
DEBUG | 08/04/2023 23:05:52 | Register route request
INFO | 08/04/2023 23:05:52 | registering new user: P
DEBUG | 08/04/2023 23:05:53 | Register route request
DEBUG | 08/04/2023 23:05:53 | Register route request
DEBUG | 08/04/2023 23:05:54 | Register route request
DEBUG | 08/04/2023 23:05:54 | Login route request
DEBUG | 08/04/2023 23:05:54 | Login route request
DEBUG | 08/04/2023 23:05:54 | Login route request
DEBUG | 08/04/2023 23:05:54 | Login route request
DEBUG | 08/04/2023 23:05:54 | Login route request
DEBUG | 08/04/2023 23:05:54 | Login route request
DEBUG | 08/04/2023 23:05:55 | Login route request
DEBUG | 08/04/2023 23:05:55 | Login route request
DEBUG | 08/04/2023 23:05:55 | Login route request
DEBUG | 08/04/2023 23:05:55 | Login route request
DEBUG | 08/04/2023 23:10:36 | Creating database tables
DEBUG | 08/04/2023 23:10:40 | Login route request
DEBUG | 08/04/2023 23:10:40 | Login route request
INFO | 08/04/2023 23:10:40 | home page: P
DEBUG | 08/04/2023 23:10:40 | Login route request
INFO | 08/04/2023 23:10:40 | login page: P
DEBUG | 08/04/2023 23:10:41 | Register route request
INFO | 08/04/2023 23:10:41 | register page: P
DEBUG | 08/04/2023 23:10:41 | Login route request
INFO | 08/04/2023 23:10:41 | basket page: P
DEBUG | 08/04/2023 23:10:41 | Login route request
INFO | 08/04/2023 23:10:41 | calendar page: P
DEBUG | 08/04/2023 23:10:41 | Login route request
INFO | 08/04/2023 23:10:41 | memberships page: P
DEBUG | 08/04/2023 23:10:42 | Login route request
INFO | 08/04/2023 23:10:42 | myBookings page: P
DEBUG | 08/04/2023 23:10:42 | Login route request
INFO | 08/04/2023 23:10:42 | settings page: P
DEBUG | 08/04/2023 23:10:42 | Login route request
INFO | 08/04/2023 23:10:42 | manageUsers page: P
DEBUG | 08/04/2023 23:10:42 | Login route request
INFO | 08/04/2023 23:10:42 | addActivity page: P
